STATEFIP,income_group,mean_value_2007,mean_value_2009,mean_value_2019,mean_value_2021,median_value_2007,median_value_2009,median_value_2019,median_value_2021,n_hh_2007,n_hh_2009,n_hh_2019,n_hh_2021,pct_chg_0709,pct_chg_1921,pct_chg_0721,abs_gain_0721,recovered_07
29,Middle,160141.9923091873,153311.1578408893,187747.01320472744,222038.38785584772,137500,140000,165000,200000,27427,26896,27225,26962,-4.265486128778558,18.264671200775634,38.65094635962601,61896.39554666041,1
30,High,365603.41114652425,321495.35290623945,493000.1036734976,746484.6629911896,275000,250000,400000,500000,1365,1253,1510,1340,-12.064454787761113,51.41673549942473,104.17880146419591,380881.2518446654,1
30,Low,160181.09767162954,166386.24808231392,206582.69945837182,349081.6584221979,112500,120000,150000,200000,1470,1379,1619,1680,3.8738343667771002,68.97913491179878,117.92937087858742,188900.56075056837,1
30,Middle,221121.9990976515,214313.88586701048,292729.9685122666,362561.22695704363,187500,180000,250000,300000,4002,4036,4673,4778,-3.078894573323047,23.85517916039773,63.96434024501107,141439.22785939212,1
31,High,248112.66778690912,247149.59029746195,336917.10284656135,398098.57741784566,225000,200000,300000,315000,2458,2453,2471,2628,-0.38816135348409747,18.159207132665973,60.45072626430808,149985.90963093654,1
31,Low,103195.47208375076,98501.04358877226,161593.55891888615,162327.99360862438,85000,85000,120000,130000,3295,2952,3244,3459,-4.549064411632935,0.45449502730915975,57.3014690769409,59132.52152487362,1
31,Middle,139220.6596034623,136500.24387592898,190997.1395970644,233814.25808480274,137500,125000,175000,200000,8102,8474,8724,8640,-1.954031632432848,22.417675247947233,67.9450871377627,94593.59848134045,1
32,High,536203.5304678355,423585.40153167484,572351.4681592679,673446.7182220969,450000,300000,400000,500000,3439,3569,3784,3875,-21.00286971961967,17.663141563689898,25.595353248516897,137243.18775426142,1
32,Low,265413.31950643903,174541.4338088255,280880.1386536675,329865.2969810224,225000,150000,250000,300000,3514,3389,3866,3989,-34.23787693345546,17.43987971600756,24.283625853607447,64451.97747458337,1
32,Middle,345736.6428208625,224757.83765571602,332692.1377133274,395735.9780212626,350000,200000,300000,355000,10439,10235,11021,11669,-34.99160637937632,18.94960330029155,14.46168239283403,49999.33520040015,1
33,High,442630.52936910803,380065.81078870577,491722.38168150024,563745.755951639,350000,350000,400000,500000,1999,1946,2184,2038,-14.134749961684129,14.647162088462748,27.3626012094465,121115.226582531,1
33,Low,237342.96587381567,219194.12635531367,220897.21440939663,271131.662137343,225000,200000,200000,250000,2212,2229,2230,2322,-7.646672591152715,22.741096062372748,14.236232423880322,33788.69626352735,1
33,Middle,292095.1705266578,258941.18165581915,293414.6937121075,364629.9405038782,275000,250000,280000,350000,6464,6210,6340,6260,-11.35040637990037,24.27119306494094,24.83258105446856,72534.76997722045,1
34,High,627481.5114743265,676587.7983463183,693701.5490309182,769811.2978950195,625000,550000,580000,620000,13545,13425,13341,14094,7.825933668804361,10.971540855058572,22.682705994998308,142329.78642069304,1
34,Low,329976.9640394611,302329.4792345923,303074.4316889192,342379.6930367123,350000,265000,250000,300000,12914,12812,12260,13191,-8.378610575240799,12.968847661863041,3.7586651035943173,12402.728997251194,1
34,Middle,412149.72272750345,367950.92882856325,384804.0275228864,423934.53518209973,350000,340000,350000,390000,39111,37378,37694,39432,-10.72396545761178,10.168944413370523,2.8593522704825194,11784.812454596278,1
35,High,329169.6635915985,332745.4053764182,402190.1710466306,458976.0577851116,275000,250000,290000,350000,2959,2928,2814,3024,1.0862914114880657,14.119163228356754,39.434494897611266,129806.39419351309,1
35,Low,123072.62822461774,109155.46722342675,219362.44260899117,165654.69042475364,85000,85000,110000,120000,2732,2741,2880,3083,-11.308087916828283,-24.48356771809404,34.59913289770664,42582.0622001359,1
35,Middle,174179.7138079719,171771.09000052654,255410.8827178654,230744.5880988859,137500,150000,175000,200000,8412,8262,8189,8300,-1.38283830808264,-9.657495544630587,32.47500702250272,56564.87429091401,1
