puma_geoid,STATEFIP,mean_val_2007,mean_val_2009,mean_val_2019,mean_val_2021,med_val_2007,med_val_2009,med_val_2019,med_val_2021,med_inc_2007,med_inc_2009,med_inc_2019,med_inc_2021,n_hh_2007,n_hh_2009,n_hh_2019,n_hh_2021,pct_chg_0709,pct_chg_1921,pct_chg_0721,abs_gain_0721,recovered_07,decimated
0607502,6,551671.8169229648,363994.28796533385,2678954.1497167624,2936448.5695276116,625000,309000,1900000,2000000,72200,88730,280000,205050,742,630,253,210,-34.01977828130345,9.611751654580328,432.28178048066866,2384776.7526046466,1,TRUE
0608101,6,712012.8098723774,747160.6371852289,977205.9459657612,1136635.5150319154,625000,600000,950000,1000000,90000,100400,159600,150200,867,830,941,886,4.936403787335148,16.314838210341815,59.63694743576989,424622.70515953796,1,FALSE
0608102,6,471492.2452297284,294134.0319325946,996409.1013993165,1178919.7215240912,450000,300000,1000000,1000000,76200,79100,145000,152000,688,601,737,738,-37.616358506748796,18.31683591292615,150.04010849630794,707427.4762943628,1,TRUE
0608103,6,563352.7426864968,415537.7751768667,2259377.66959241,2542437.641248849,625000,400000,1800000,1900000,90000,86000,225000,235000,1202,1064,735,768,-26.238439313304006,12.528227372783727,351.30474187887353,1979084.8985623524,1,TRUE
0608104,6,599957.4776793731,375258.08937967836,1469236.7799623231,1671708.584281216,625000,350000,1400000,1500000,90000,87100,215000,220000,1417,1435,1037,1087,-37.45255233234674,13.78074705726363,178.63784459314692,1071751.1066018427,1,TRUE
0608105,6,444243.3707163854,271166.14493566874,1769057.897328737,1958991.6028303923,450000,251000,1700000,1800000,65600,73000,245000,230000,1073,1108,932,999,-38.9600019245336,10.736432413458807,340.9726136534866,1514748.2321140068,1,TRUE
0608106,6,537482.9003830315,366799.06489090394,2537853.899858027,2529431.992352176,625000,340000,1750000,2000000,82200,87200,250000,267000,793,697,853,864,-31.75614245039079,-0.3318515500960232,370.60697011004504,1991949.0919691445,1,TRUE
0800102,8,304239.29222977575,279777.096638729,458169.63449652016,557136.2955878983,275000,240000,416000,500000,73000,77760,110000,105400,1125,1101,809,797,-8.040445864754304,21.600440893498334,83.12437276087368,252897.0033581226,1,FALSE
0800103,8,279361.945442882,282237.3604408783,472823.0791201481,604794.2827232691,225000,240000,425000,500000,65000,69100,114000,122100,989,1019,1527,1553,1.0292794150748783,27.911328662022875,116.49129116869088,325432.33728038706,1,FALSE
0800200,8,274768.79096967226,281323.9403509269,556821.6108623019,613912.8747258104,275000,250000,350000,425000,75910,80000,95000,94600,793,782,760,824,2.385696482530344,10.253061797493121,123.42889545762542,339144.0837561381,1,FALSE
0800300,8,253513.80336902055,229843.94634641448,391207.3466773896,416735.6663626889,187500,190000,350000,400000,69000,78000,101000,100900,1958,1683,1675,1545,-9.336713310301167,6.525521543017266,64.38381690644229,163221.86299366833,1,FALSE
