puma_geoid,risk_score,sovi_score,resl_score,nri_pop,nri_tracts
0400108,64.77236610919628,24.902238764160426,17.529913517355805,107966,24
0400109,75.0663087571761,31.85413603473788,17.529913517355805,117253,26
0400110,77.81838090663487,37.18679254880963,17.5299135173558,128403,33
0400111,76.90563375414133,36.4757088914976,17.5299135173558,111586,26
0400112,78.93013831406468,27.63131157589853,17.5299135173558,130447,30
0400113,63.83810510201682,32.70851333892064,17.529913517355805,104693,25
0400114,60.9327085037711,42.32131307543182,17.529913517355805,111355,26
0400115,65.95468946947138,36.67541521704596,17.5299135173558,109622,23
0400116,55.481687879347035,48.1178984954012,17.5299135173558,110613,32
0400117,51.995609634872324,30.339029555875356,17.529913517355798,104943,28
0400118,73.31510873789075,61.28372781744095,17.5299135173558,118423,36
0400119,73.00734972830149,53.74786669503548,17.5299135173558,117113,26
0400120,58.94236338046509,28.4618519116648,17.529913517355798,108700,28
0400121,71.44697579592842,40.28855170895864,17.529913517355798,151473,30
0400122,69.19021496950991,72.49767801983174,17.529913517355805,112203,23
0400123,59.24966259025544,58.72817571369169,17.5299135173558,121117,27
0400124,65.69181912857219,58.82534066172312,17.529913517355798,114400,24
0400125,67.15311104400425,53.40774672131597,17.5299135173558,114542,23
0400126,72.8128568329722,33.80450802709194,17.529913517355805,129933,29
0400127,70.39673820237456,44.203064858923625,17.5299135173558,121243,27
0400128,72.95814805266349,34.06963912423757,17.52991351735581,110222,24
0400129,74.90829290562905,21.264841405715664,17.5299135173558,140467,30
0400130,80.24439196802561,72.02409191971319,17.529913517355805,126620,30
0400131,72.9638307648422,40.47923479652692,17.5299135173558,123377,25
0400132,67.13071699460582,23.499629361817615,17.529913517355798,146710,31
0400133,68.69737085213349,27.85013179522265,17.5299135173558,122799,25
0400134,76.21024549623053,29.017601629233823,17.529913517355798,168284,34
0400201,75.31520294390992,56.05510575618887,19.7523990048572,104352,25
0400202,68.9018022469079,53.23503418074097,19.7523990048572,129819,33
0400203,65.20661160040432,37.551692585921565,19.7523990048572,119994,31
0400204,79.11751404147255,46.86979970263431,19.752399004857203,109632,32
0400205,58.61096736402303,32.81835284390895,19.7523990048572,150644,36
0400206,72.69286299880129,58.50465182250014,19.7523990048572,103366,29
0400207,60.69505343391264,58.76495080738245,19.7523990048572,102618,27
0400208,60.74696542789209,71.23778451862923,19.752399004857203,102883,26
0400209,59.26815582355057,55.95674347861259,19.752399004857203,119408,31
0400300,50.06491286311871,80.52262199911745,0.6640031192135293,172345,55
0400400,80.76425433180617,53.784018984408085,36.06207795284921,144629,37
0400500,57.306729757648085,64.13196028139407,16.3345575168819,235830,72
0400600,61.40752102348626,72.44494059883634,0.8748559752603053,229284,77
0400700,58.40684969671146,58.30019442298775,0.529558109228764,203299,65
0400800,79.01302857527119,69.69571410338858,5.532871795480759,110131,32
