county_geoid,hc_share,n_orig
47079,0.307007125890736,1684
01133,0.377926421404682,897
55099,0.215463917525773,970
44001,0.108259973777861,5339
51131,0.272861356932153,678
44003,0.20739418861776,25777
51133,0.223448275862069,725
44005,0.107043235704324,8604
51135,0.345029239766082,855
44007,0.255315007160834,71919
51137,0.215642683912692,4948
44009,0.133844379621464,14741
51139,0.254025044722719,2236
39061,0.201313026606065,75246
47081,0.326618705035971,1390
39063,0.190855457227139,6780
47083,0.350132625994695,377
39065,0.379504504504505,1776
47085,0.3905540417802,1101
39067,0.321350762527233,918
47087,0.297482837528604,437
39069,0.213082259663033,2018
47089,0.264817518248175,3425
51141,0.236318407960199,804
51143,0.221061792863359,3447
51145,0.163110991088307,3703
51147,0.247089262613195,773
51149,0.235900741218176,3103
39071,0.24122527121889,3134
47091,0.286919831223629,711
39073,0.277978339350181,1662
47093,0.212582719294129,42614
39075,0.243381725021349,1171
47095,0.577272727272727,220
39077,0.258628318584071,4520
47097,0.513242662848962,1397
39079,0.308441558441558,1540
47099,0.269963702359347,2204
36001,0.175181822288476,22137
36003,0.318911374738311,1433
36005,0.291827654841353,34164
51153,0.187835130346161,86347
36007,0.205653991638463,10046
51155,0.197373820270825,2437
