puma_geoid,state_fips,puma_code,puma_name
0607303,06,07303,San Diego County (Northwest)--Vista City PUMA
0606504,06,06504,Riverside County (Southwest)--Murrieta & Wildomar Cities PUMA
0606509,06,06509,"Riverside County (West Central)--Perris City, Temescal Valley & Mead Valley PUMA"
0605905,06,05905,"Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado PUMA"
0605902,06,05902,Orange County (South Central)--Mission Viejo & Rancho Santa Margarita (West) Cities PUMA
0603758,06,03758,"Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens PUMA"
0603702,06,03702,Los Angeles County (Northwest)--Santa Clarita City PUMA
0603709,06,03709,Los Angeles County (Central)--San Gabriel Valley Region (North) PUMA
0603710,06,03710,"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA"
0603711,06,03711,"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities PUMA"
0603723,06,03723,Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City) PUMA
0603720,06,03720,Los Angeles County (Central)--Burbank City PUMA
0603736,06,03736,Los Angeles County (Central)--Alhambra & South Pasadena Cities PUMA
0603714,06,03714,"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUMA"
0605907,06,05907,Orange County (North Central)--Fullerton & Placentia Cities PUMA
0607104,06,07104,"San Bernardino County (Southwest)--Phelan, Lake Arrowhead & Big Bear City PUMA"
0606507,06,06507,"Riverside County (North Central)--San Jacinto, Beaumont, Banning & Calimesa Cities PUMA"
0606502,06,06502,"Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities PUMA"
0607313,06,07313,San Diego County (Central)--El Cajon & Santee Cities PUMA
0607321,06,07321,San Diego County (Southwest)--Chula Vista (West) & National City Cities PUMA
